Date,Price,Open,High,Low,Volume,Change
12/28/2021,979.8,971.0,989.9,964.4,11.28K,0.91
12/27/2021,971.0,973.4,974.6,951.5,11.00K,0.43
12/26/2021,966.85,972.85,972.85,966.8,,-0.55
12/23/2021,972.2,964.8,974.2,956.6,9.60K,0.88
12/22/2021,963.7,927.2,966.4,922.1,9.07K,4.25
12/21/2021,924.4,925.0,935.4,919.5,5.57K,0.2
12/20/2021,922.6,932.5,932.5,906.8,7.15K,0.09
12/19/2021,921.8,928.85,931.65,921.8,,-1.19
12/17/2021,932.9,929.2,940.5,924.4,3.49K,0.63
12/16/2021,927.1,903.7,930.0,899.0,5.58K,3.69
12/15/2021,894.1,912.4,917.6,886.1,4.10K,-1.86
12/14/2021,911.0,923.7,928.5,904.0,3.41K,-1.5
12/13/2021,924.9,942.0,949.5,921.8,5.06K,-1.65
12/12/2021,940.45,937.85,942.5,937.85,,0.57
12/10/2021,935.1,932.0,940.7,926.4,3.41K,-0.37
12/09/2021,938.6,955.4,955.4,929.8,3.55K,-1.92
12/08/2021,957.0,948.8,961.2,943.8,2.75K,0.63
12/07/2021,951.0,935.8,956.7,933.3,3.10K,1.45
12/06/2021,937.4,930.7,939.6,917.3,2.49K,0.29
12/05/2021,934.65,928.2,935.0,927.45,,0.81
12/03/2021,927.1,933.2,951.6,919.0,3.10K,-0.74
12/02/2021,934.0,931.8,946.7,928.5,1.93K,-0.28
12/01/2021,936.6,933.8,954.3,926.4,1.55K,0.8
11/30/2021,929.2,963.7,968.4,924.7,2.88K,-3.85
11/29/2021,966.4,953.7,981.1,953.7,1.83K,-1.23
11/28/2021,978.4,950.5,978.4,950.5,,2.46
11/26/2021,954.9,990.9,992.9,945.2,,-3.63
11/25/2021,990.9,980.4,999.9,979.9,,1.38
11/24/2021,977.4,969.6,986.6,967.5,1.74K,1.17
11/23/2021,966.1,1020.0,1025.9,959.3,3.06K,-4.98
11/22/2021,1016.7,1037.6,1045.2,1014.9,1.31K,-1.44
11/21/2021,1031.6,1035.3,1036.75,1029.6,,-0.58
11/19/2021,1037.6,1057.0,1066.0,1035.2,0.97K,-1.88
11/18/2021,1057.5,1065.6,1080.7,1050.0,0.39K,-1.18
11/17/2021,1070.1,1068.0,1081.0,1060.6,0.30K,-0.51
11/16/2021,1075.6,1096.8,1113.4,1068.0,0.55K,-2.02
11/15/2021,1097.8,1089.3,1103.1,1077.7,0.30K,0.55
11/14/2021,1091.8,1088.3,1092.85,1087.2,,0.16
11/12/2021,1090.1,1094.3,1095.4,1074.2,0.27K,-0.49
11/11/2021,1095.5,1075.0,1100.0,1072.5,0.32K,1.63
11/10/2021,1077.9,1065.1,1099.4,1056.7,1.26K,1.46
11/09/2021,1062.4,1060.1,1068.3,1049.5,0.27K,0.12
11/08/2021,1061.1,1037.5,1066.8,1037.4,0.38K,2.26
11/07/2021,1037.65,1036.3,1039.0,1035.05,,0.07
11/05/2021,1036.9,1030.7,1040.1,1023.8,0.31K,0.64
11/04/2021,1030.3,1036.4,1050.5,1027.9,0.35K,0.68
11/03/2021,1023.3,1040.8,1046.8,1022.7,0.12K,-1.63
11/02/2021,1040.3,1067.0,1067.5,1039.5,0.23K,-2.6
11/01/2021,1068.1,1020.3,1069.9,1020.0,0.28K,4.56
10/31/2021,1021.5,1021.65,1022.4,1018.9,,-0.02
10/29/2021,1021.7,1023.2,1025.5,1006.7,0.27K,-0.35
10/28/2021,1025.3,1015.6,1034.5,1015.5,0.10K,0.59
10/27/2021,1019.3,1031.8,1033.8,1010.6,12.29K,-1.32
10/26/2021,1032.9,1063.6,1064.0,1017.0,17.00K,-2.9
10/25/2021,1063.8,1044.8,1066.6,1040.4,13.51K,1.64
10/24/2021,1046.6,1043.6,1046.6,1042.4,,-0.52
10/22/2021,1052.1,1053.0,1080.8,1042.8,18.33K,0.23
10/21/2021,1049.7,1054.5,1066.8,1038.0,12.53K,-0.25
10/20/2021,1052.3,1043.4,1058.0,1036.7,10.91K,0.5
10/19/2021,1047.1,1039.1,1059.3,1036.7,11.81K,0.89
10/18/2021,1037.9,1059.0,1062.7,1034.8,12.93K,-1.93
10/17/2021,1058.35,1060.85,1062.7,1058.2,,-0.05
10/15/2021,1058.9,1057.5,1062.9,1043.6,17.88K,0.63
10/14/2021,1052.3,1021.0,1064.2,1015.0,19.44K,2.74
10/13/2021,1024.2,1008.0,1033.8,1003.0,12.87K,1.24
10/12/2021,1011.7,1005.8,1020.7,1002.0,10.14K,0.48
10/11/2021,1006.9,1027.1,1037.6,1004.6,16.20K,-1.43
10/10/2021,1021.5,1026.55,1032.9,1020.35,,-0.65
10/08/2021,1028.2,979.8,1041.7,977.9,24.54K,4.35
10/07/2021,985.3,985.0,997.7,975.3,11.90K,0.83
10/06/2021,977.2,959.8,988.8,939.1,16.80K,1.81
10/05/2021,959.8,964.1,965.9,945.0,8.37K,-0.19
10/04/2021,961.6,974.5,981.1,943.0,13.43K,-1.73
10/03/2021,978.5,973.9,980.8,973.5,,0.5
10/01/2021,973.6,962.0,978.0,954.9,9.77K,1.16
09/30/2021,962.4,949.2,968.9,949.0,11.24K,1.63
09/29/2021,947.0,964.6,972.0,941.4,13.55K,-1.49
09/28/2021,961.3,976.1,984.7,958.8,,-1.69
09/27/2021,977.8,981.0,996.5,972.6,9.30K,-0.2
09/26/2021,979.8,977.5,979.8,974.8,,0.36
09/24/2021,976.3,986.7,990.3,962.3,10.15K,-1.92
09/23/2021,995.4,994.7,1010.7,979.7,12.72K,-0.44
09/22/2021,999.8,951.5,1007.9,945.6,13.62K,5.15
09/21/2021,950.8,904.3,955.5,903.9,11.37K,5.71
09/20/2021,899.4,933.9,935.4,892.9,6.43K,-3.59
09/19/2021,932.9,931.0,934.1,929.5,,0.03
09/17/2021,932.6,926.1,950.5,925.8,3.96K,0.76
09/16/2021,925.6,941.5,953.0,923.5,3.40K,-0.78
09/15/2021,932.9,936.6,942.1,918.2,4.55K,-0.87
09/14/2021,941.1,959.0,959.4,930.0,4.68K,-1.99
09/13/2021,960.2,952.0,961.0,945.4,4.01K,0.43
09/12/2021,956.1,947.9,956.5,947.5,,-0.36
09/10/2021,959.6,974.1,984.4,945.9,3.78K,-1.83
09/09/2021,977.5,978.2,987.5,970.7,3.45K,-0.16
09/08/2021,979.1,998.2,1006.0,973.8,3.45K,-1.98
09/07/2021,998.9,1023.4,1028.5,993.9,2.06K,-1.91
09/06/2021,1018.3,1019.3,1026.1,1014.45,,-0.14
09/05/2021,1019.7,1022.4,1024.0,1018.6,,-0.47
09/03/2021,1024.5,997.9,1028.4,996.5,1.81K,2.77
09/02/2021,996.9,999.1,1009.5,989.0,2.05K,-0.55
09/01/2021,1002.4,1013.6,1016.9,997.5,2.18K,-1.43
08/31/2021,1016.9,1005.6,1019.1,995.0,1.27K,1.19
