Date,Price,Open,High,Low,Change
12/28/2022,9.4763,9.531,9.5414,9.4372,-0.53
12/27/2022,9.5272,9.5948,9.6121,9.5083,-0.62
12/26/2022,9.5862,9.6458,9.6798,9.5679,-0.49
12/23/2022,9.6337,9.7619,9.7763,9.6214,-1.28
12/22/2022,9.7585,9.6644,9.7662,9.655,1.08
12/21/2022,9.6544,9.7495,9.7929,9.6617,-0.94
12/20/2022,9.7465,9.5084,9.8351,9.4587,2.54
12/19/2022,9.5047,9.6281,9.6452,9.4864,-0.76
12/16/2022,9.5778,9.5772,9.6087,9.5054,0.09
12/15/2022,9.569,9.5656,9.6406,9.5486,0.08
12/14/2022,9.5617,9.5112,9.6266,9.5001,0.58
12/13/2022,9.5069,9.4936,9.7063,9.4407,0.23
12/12/2022,9.485,9.5478,9.6011,9.4785,-0.64
12/09/2022,9.5459,9.6354,9.6482,9.5186,-0.84
12/08/2022,9.6271,9.6238,9.6749,9.6182,0.07
12/07/2022,9.62,9.6321,9.6763,9.559,-0.1
12/06/2022,9.6293,9.5479,9.7057,9.5302,0.89
12/05/2022,9.5446,9.6726,9.6807,9.5295,-1.22
12/02/2022,9.662,9.643,9.7083,9.5343,0.26
12/01/2022,9.6374,9.4282,9.6515,9.4239,2.22
11/30/2022,9.4281,9.5575,9.5836,9.4175,-1.31
11/29/2022,9.5535,9.6544,9.6841,9.538,-0.9
11/28/2022,9.6406,9.5852,9.7368,9.5787,0.51
11/25/2022,9.5916,9.5803,9.617,9.5237,0.23
11/24/2022,9.5693,9.5777,9.6351,9.5369,-0.06
11/23/2022,9.5749,9.5785,9.6312,9.5428,0.0
11/22/2022,9.5749,9.5649,9.6028,9.5329,0.13
11/21/2022,9.5624,9.5515,9.6665,9.5434,0.2
11/18/2022,9.5435,9.5794,9.6019,9.5333,-0.34
11/17/2022,9.576,9.5805,9.6545,9.541,-0.02
11/16/2022,9.5776,9.453,9.6081,9.4462,1.37
11/15/2022,9.4481,9.4669,9.5393,9.3757,-0.16
11/14/2022,9.4637,9.4852,9.5533,9.3863,0.0
11/11/2022,9.4633,9.5772,9.5792,9.2738,-1.15
11/10/2022,9.5732,9.3625,9.6335,9.3132,2.26
11/09/2022,9.3612,9.4384,9.4932,9.3208,-0.81
11/08/2022,9.4374,9.5027,9.5164,9.3984,-0.61
11/07/2022,9.495,9.5424,9.6287,9.4843,-0.79
11/04/2022,9.5709,9.6041,9.6494,9.5521,-0.32
11/03/2022,9.6014,9.5597,9.6701,9.5597,0.56
11/02/2022,9.5481,9.5584,9.7235,9.5498,-0.07
11/01/2022,9.5544,9.5957,9.6354,9.5478,-0.33
10/31/2022,9.5861,9.6234,9.6592,9.5808,-0.56
10/28/2022,9.6397,9.7185,9.7313,9.6327,-0.77
10/27/2022,9.7145,9.653,9.7638,9.6433,0.67
10/26/2022,9.6497,9.6479,9.6824,9.6022,0.07
10/25/2022,9.6433,9.6993,9.7189,9.6135,-0.55
10/24/2022,9.6962,9.6846,9.8137,9.5465,0.25
10/21/2022,9.6724,9.5277,9.7948,9.4755,1.55
10/20/2022,9.5251,9.5742,9.585,9.4983,-0.49
10/19/2022,9.5716,9.5484,9.5917,9.4738,0.27
10/18/2022,9.546,9.6086,9.6199,9.5308,-0.59
10/17/2022,9.6031,9.7124,9.7148,9.5988,-0.83
10/14/2022,9.683,9.7264,9.7531,9.6607,-0.35
10/13/2022,9.7174,9.6988,9.854,9.6941,0.22
10/12/2022,9.6957,9.8163,9.8278,9.6944,-1.2
10/11/2022,9.813,9.8087,9.8696,9.7976,0.18
10/10/2022,9.7956,9.7485,9.8344,9.7387,0.59
10/07/2022,9.738,9.7056,9.7726,9.6716,0.36
10/06/2022,9.7031,9.7961,9.8151,9.6671,-0.84
10/05/2022,9.785,9.8249,9.8923,9.7775,-0.38
10/04/2022,9.8219,9.9201,9.9322,9.8166,-0.95
10/03/2022,9.916,9.9639,10.0038,9.9039,-0.3
09/30/2022,9.9458,9.9022,9.966,9.8714,0.49
09/29/2022,9.8975,9.886,9.9724,9.8524,0.17
09/28/2022,9.8806,9.8477,9.993,9.8393,0.39
09/27/2022,9.8424,9.8823,9.9222,9.8172,-0.38
09/26/2022,9.8797,9.9222,9.983,9.859,-0.36
09/23/2022,9.9152,9.8682,9.9553,9.8527,0.52
09/22/2022,9.8639,9.703,10.0048,9.6618,1.65
09/21/2022,9.7036,9.6902,9.7509,9.6308,0.17
09/20/2022,9.687,9.7087,9.7278,9.6811,-0.19
09/19/2022,9.7059,9.6963,9.7343,9.6842,0.19
09/16/2022,9.6878,9.7451,9.7774,9.6728,-0.57
09/15/2022,9.743,9.7191,9.7642,9.6947,0.29
09/14/2022,9.7151,9.65,9.773,9.6048,0.71
09/13/2022,9.6464,9.6278,9.6831,9.4964,0.24
09/12/2022,9.6236,9.7081,9.7092,9.6245,-0.57
09/09/2022,9.6792,9.6093,9.7184,9.5731,0.75
09/08/2022,9.6069,9.5837,9.6427,9.5402,0.28
09/07/2022,9.5799,9.6538,9.691,9.5494,-0.65
09/06/2022,9.6427,9.7479,9.7835,9.6426,-0.98
09/05/2022,9.7382,9.72,9.7944,9.689,0.33
09/02/2022,9.7066,9.6781,9.7416,9.6512,0.38
09/01/2022,9.6699,9.6553,9.743,9.6237,0.2
08/31/2022,9.6509,9.7298,9.7556,9.6474,-0.75
08/30/2022,9.7239,9.7039,9.7572,9.6943,0.24
08/29/2022,9.7003,9.7503,9.7602,9.6898,-0.56
08/26/2022,9.7551,9.7801,9.787,9.6761,-0.15
08/25/2022,9.7699,9.7791,9.8057,9.75,-0.06
08/24/2022,9.7761,9.7922,9.8609,9.7683,-0.13
08/23/2022,9.7885,9.7737,9.8277,9.7192,0.19
08/22/2022,9.7704,9.7588,9.8433,9.7272,0.19
08/19/2022,9.7518,9.7666,9.7817,9.7086,-0.11
08/18/2022,9.7626,9.7408,9.83,9.7231,0.26
08/17/2022,9.737,9.7702,9.7893,9.7098,-0.3
08/16/2022,9.7664,9.8421,9.8775,9.7311,-0.63
08/15/2022,9.8284,9.7592,9.8869,9.7484,0.84
08/12/2022,9.7469,9.8132,9.8368,9.7455,-0.65
08/11/2022,9.8109,9.7628,9.8728,9.7582,0.52
08/10/2022,9.7602,9.6751,9.8876,9.6587,1.01
08/09/2022,9.6629,9.6293,9.7065,9.6244,0.44
08/08/2022,9.6208,9.6559,9.6893,9.6179,-0.26
08/05/2022,9.6462,9.8049,9.8357,9.6056,-1.56
08/04/2022,9.7986,9.7742,9.832,9.7467,0.29
08/03/2022,9.7701,9.8596,9.9046,9.751,-0.81
08/02/2022,9.85,9.9354,10.037,9.8584,-0.82
08/01/2022,9.9311,9.7826,9.9488,9.7573,1.54
07/29/2022,9.7806,9.651,9.8211,9.6281,1.39
07/28/2022,9.6468,9.5659,9.6934,9.5624,0.88
07/27/2022,9.5627,9.5753,9.6286,9.5476,-0.04
07/26/2022,9.567,9.5948,9.6337,9.5603,-0.25
07/25/2022,9.5905,9.6328,9.6388,9.5796,-0.38
07/22/2022,9.6268,9.5114,9.6495,9.4986,1.27
07/21/2022,9.5063,9.5048,9.5438,9.4259,0.09
07/20/2022,9.4975,9.448,9.5167,9.4157,0.58
07/19/2022,9.443,9.55,9.5561,9.4452,-1.05
07/18/2022,9.5432,9.5219,9.5701,9.4921,0.35
07/15/2022,9.5102,9.4847,9.5948,9.4677,0.37
07/14/2022,9.4753,9.4965,9.5436,9.4318,-0.19
07/13/2022,9.4931,9.5444,9.5731,9.4677,-0.44
07/12/2022,9.5354,9.5402,9.5878,9.5266,-0.01
07/11/2022,9.5366,9.5188,9.5713,9.4721,0.26
07/08/2022,9.512,9.5421,9.6258,9.4928,-0.29
07/07/2022,9.5392,9.6005,9.6469,9.5232,-0.59
07/06/2022,9.5962,9.6339,9.6959,9.5866,-0.37
07/05/2022,9.6317,9.5522,9.6997,9.4978,0.89
07/04/2022,9.5467,9.5986,9.6432,9.5214,-0.6
07/01/2022,9.6041,9.4902,9.6595,9.4792,1.27
06/30/2022,9.4837,9.5359,9.5667,9.4826,-0.49
06/29/2022,9.53,9.4934,9.5649,9.4689,0.43
06/28/2022,9.4893,9.4993,9.5215,9.4423,-0.07
06/27/2022,9.4959,9.5421,9.6046,9.4726,-0.39
06/24/2022,9.5332,9.636,9.6596,9.5205,-1.02
06/23/2022,9.6314,9.5225,9.6979,9.5181,1.16
06/22/2022,9.5214,9.4572,9.6007,9.4431,0.72
06/21/2022,9.4535,9.5677,9.5823,9.45,-1.11
06/20/2022,9.5592,9.5742,9.6122,9.5307,-0.07
06/17/2022,9.5656,9.746,9.7656,9.5596,-1.81
06/16/2022,9.7423,9.5519,9.8396,9.5189,2.03
06/15/2022,9.548,9.5215,9.6467,9.5063,0.31
06/14/2022,9.5186,9.6104,9.6445,9.519,-0.93
06/13/2022,9.6083,9.5212,9.6798,9.4852,0.98
06/10/2022,9.5152,9.4115,9.5682,9.3986,1.14
06/09/2022,9.4079,9.3645,9.4349,9.3413,0.51
06/08/2022,9.3603,9.4637,9.4684,9.3462,-1.04
06/07/2022,9.459,9.515,9.5198,9.4472,-0.55
06/06/2022,9.5113,9.5639,9.615,9.4958,-0.46
06/03/2022,9.5552,9.5594,9.5875,9.5349,0.03
06/02/2022,9.5519,9.5849,9.6531,9.5517,-0.31
06/01/2022,9.5819,9.6545,9.6591,9.5558,-0.72
05/31/2022,9.6513,9.6919,9.7142,9.6306,-0.29
05/30/2022,9.679,9.8579,9.8644,9.6762,-1.7
05/27/2022,9.8466,9.9191,9.943,9.8236,-0.62
05/26/2022,9.9082,9.9474,10.0022,9.9041,-0.37
05/25/2022,9.9451,9.9439,10.0289,9.9233,0.02
05/24/2022,9.9427,9.8415,10.0014,9.8378,1.1
05/23/2022,9.8349,9.9606,9.988,9.8366,-1.25
05/20/2022,9.9593,9.8916,10.0033,9.8758,0.81
05/19/2022,9.8788,9.9488,10.0251,9.8688,-0.66
05/18/2022,9.9449,9.7894,9.965,9.7779,1.62
05/17/2022,9.786,9.9139,9.9428,9.7565,-1.26
05/16/2022,9.9108,9.8906,9.9754,9.8475,0.17
05/13/2022,9.8936,10.0586,10.0654,9.8857,-1.62
05/12/2022,10.0563,9.8413,10.1168,9.8344,2.2
05/11/2022,9.8394,9.7867,9.8714,9.7606,0.56
05/10/2022,9.7845,9.7878,9.8484,9.7526,0.03
05/09/2022,9.7811,9.731,9.8195,9.7032,0.58
05/06/2022,9.725,9.755,9.7766,9.7107,-0.27
05/05/2022,9.7511,9.6953,9.7924,9.6607,0.59
05/04/2022,9.6941,9.6918,9.8179,9.673,0.09
