,Gold_Price,Gold_Open,Gold_High,Gold_Low,Gold_Volume,Gold_Change,USD_Price,USD_Open,USD_High,USD_Low,USD_Change
2023-06-27,1915.1,1927.4,1930.2,1912.3,0.23K,-0.52,1299.18,1305.42,1308.35,1295.35,-0.44
2023-06-28,1913.4,1915.2,1916.7,1903.6,0.63K,-0.09,1308.9,1299.48,1313.46,1297.3,0.75
2023-06-29,1917.9,1916.5,1921.3,1900.6,205.25K,0.24,1322.21,1309.31,1323.57,1305.18,1.02
2023-06-30,1929.4,1916.4,1930.8,1908.1,180.69K,0.6,1315.11,1323.18,1324.54,1314.57,-0.54
2023-07-01,,,,,,,,,,,
2023-07-02,,,,,,,,,,,
2023-07-03,1929.5,1927.8,1939.9,1917.7,152.96K,0.01,1304.2,1316.97,1317.31,1302.69,-0.83
2023-07-04,1933.95,1928.85,1938.05,1927.75,,0.23,1294.35,1304.66,1308.34,1293.04,-0.76
2023-07-05,1927.1,1929.1,1942.9,1922.1,245.93K,-0.35,1303.59,1294.81,1306.51,1294.41,0.71
2023-07-06,1915.4,1922.4,1934.0,1908.5,231.51K,-0.61,1309.11,1304.0,1314.69,1299.98,0.42
2023-07-07,1932.5,1916.6,1941.1,1915.4,214.27K,0.89,1297.9,1309.46,1310.59,1295.96,-0.86
2023-07-08,,,,,,,,,,,
2023-07-09,,,,,,,,,,,
2023-07-10,1931.0,1930.7,1933.7,1918.0,208.09K,-0.08,1299.4,1299.1,1307.9,1298.25,0.12
2023-07-11,1937.1,1930.8,1944.5,1929.8,189.37K,0.32,1291.47,1299.8,1302.0,1289.94,-0.61
2023-07-12,1961.7,1938.0,1965.1,1937.5,270.87K,1.27,1274.49,1291.87,1296.08,1273.7,-1.31
2023-07-13,1963.8,1962.7,1968.5,1956.6,241.22K,0.11,1266.73,1274.8,1280.03,1265.92,-0.61
2023-07-14,1964.4,1965.2,1967.8,1954.7,209.31K,0.03,1268.31,1267.16,1271.49,1259.82,0.12
2023-07-15,,,,,,,,,,,
2023-07-16,,,,,,,,,,,
2023-07-17,1956.4,1958.6,1963.6,1949.0,165.83K,-0.41,1263.17,1269.32,1271.08,1263.31,-0.41
2023-07-18,1980.8,1958.3,1988.3,1958.1,264.09K,1.25,1264.95,1263.72,1267.55,1256.71,0.14
2023-07-19,1980.8,1982.5,1984.6,1973.3,159.41K,0.0,1266.94,1265.31,1269.46,1261.67,0.16
2023-07-20,1970.9,1980.0,1989.8,1967.7,189.93K,-0.5,1276.53,1267.94,1280.3,1261.56,0.76
2023-07-21,1966.6,1972.1,1975.9,1958.8,156.54K,-0.22,1286.19,1277.13,1290.69,1275.92,0.76
2023-07-22,,,,,,,,,,,
2023-07-23,,,,,,,,,,,
2023-07-24,1981.6,1983.2,1988.7,1974.7,6.44K,0.76,1280.45,1286.65,1288.98,1277.03,-0.45
2023-07-25,1983.1,1976.1,1986.2,1971.1,8.63K,0.08,1276.18,1280.88,1285.61,1273.79,-0.33
2023-07-26,1989.7,1985.9,1999.3,1982.8,11.94K,0.33,1270.8,1276.58,1282.78,1268.14,-0.42
2023-07-27,1965.3,1991.8,2002.0,1961.4,16.91K,-1.23,1283.78,1271.42,1284.94,1266.98,1.02
2023-07-28,1999.9,1985.3,2002.0,1983.9,159.60K,1.76,1272.83,1284.17,1284.89,1273.28,-0.85
2023-07-29,,,,,,,,,,,
2023-07-30,,,,,,,,,,,
2023-07-31,2009.2,1997.9,2010.9,1986.7,139.96K,0.47,1277.86,1273.33,1279.42,1269.82,0.4
2023-08-01,1978.8,2004.2,2004.4,1978.3,167.76K,-1.51,1289.0,1278.28,1291.1,1274.88,0.87
2023-08-02,1975.0,1988.9,1992.2,1969.1,169.66K,-0.19,1298.93,1289.4,1303.09,1286.94,0.77
2023-08-03,1968.8,1970.8,1974.5,1964.5,141.35K,-0.31,1299.01,1299.47,1304.23,1294.55,0.01
2023-08-04,1976.1,1969.6,1984.2,1954.5,156.42K,0.37,1304.08,1299.93,1312.38,1296.82,0.39
2023-08-05,,,,,,,,,,,
2023-08-06,,,,,,,,,,,
2023-08-07,1970.0,1977.6,1981.7,1966.1,104.41K,-0.31,1307.3,1304.29,1309.06,1298.8,0.25
2023-08-08,1959.9,1971.5,1972.8,1956.5,142.34K,-0.51,1316.72,1307.93,1322.69,1305.2,0.72
2023-08-09,1950.6,1959.3,1966.1,1947.2,139.26K,-0.47,1313.08,1317.02,1322.29,1309.7,-0.28
2023-08-10,1948.9,1947.7,1963.5,1944.4,168.26K,-0.09,1316.9,1313.1,1319.91,1308.18,0.29
2023-08-11,1946.6,1944.9,1953.6,1942.7,122.32K,-0.12,1330.3,1318.14,1333.92,1316.17,1.02
2023-08-12,,,,,,,,,,,
2023-08-13,,,,,,,,,,,
2023-08-14,1944.0,1945.6,1948.2,1934.2,120.98K,-0.13,1336.8,1330.6,1339.72,1327.69,0.49
2023-08-15,1935.2,1939.4,1944.3,1927.5,167.15K,-0.45,1336.42,1337.94,1340.47,1332.55,-0.03
2023-08-16,1928.3,1933.1,1938.2,1922.0,128.61K,-0.36,1341.22,1336.87,1345.77,1334.01,0.36
2023-08-17,1915.2,1922.4,1933.5,1914.2,152.33K,-0.68,1339.27,1341.94,1344.35,1334.99,-0.15
2023-08-18,1916.5,1919.2,1926.0,1915.9,114.74K,0.07,1339.17,1339.76,1344.81,1332.44,-0.01
2023-08-19,,,,,,,,,,,
2023-08-20,,,,,,,,,,,
2023-08-21,1923.0,1918.4,1927.9,1913.6,138.11K,0.34,1339.15,1340.17,1344.83,1338.05,0.0
2023-08-22,1926.0,1924.0,1933.2,1917.5,131.09K,0.16,1339.81,1340.04,1342.58,1334.09,0.05
2023-08-23,1948.1,1926.8,1949.7,1926.2,170.04K,1.15,1326.42,1340.81,1342.31,1326.69,-1.0
2023-08-24,1947.1,1944.9,1951.3,1939.2,137.39K,-0.05,1327.35,1327.92,1330.24,1317.88,0.07
2023-08-25,1939.9,1944.9,1950.4,1931.0,166.99K,-0.37,1323.53,1328.34,1330.61,1319.82,-0.29
2023-08-26,,,,,,,,,,,
2023-08-27,,,,,,,,,,,
2023-08-28,1946.8,1944.0,1954.2,1940.1,115.55K,0.36,1323.81,1324.57,1327.77,1319.1,0.02
2023-08-29,1965.1,1948.1,1966.5,1941.7,174.22K,0.94,1318.06,1324.21,1329.14,1318.13,-0.43
2023-08-30,1973.0,1966.0,1977.1,1962.8,142.38K,0.4,1323.49,1318.6,1326.22,1318.53,0.41
2023-08-31,1965.9,1970.2,1974.9,1965.5,133.71K,-0.36,1325.14,1323.79,1326.86,1320.0,0.12
2023-09-01,1967.1,1966.4,1980.2,1960.7,160.73K,0.06,1317.55,1325.46,1326.37,1311.88,-0.57
2023-09-02,,,,,,,,,,,
2023-09-03,1966.65,1966.4,1967.05,1965.5,,-0.02,,,,,
2023-09-04,1963.25,1966.6,1972.55,1962.55,,-0.17,1317.21,1318.45,1322.0,1315.59,-0.03
2023-09-05,1952.6,1966.7,1972.6,1950.6,192.79K,-0.54,1329.05,1318.41,1335.68,1316.81,0.9
2023-09-06,1944.2,1951.5,1954.5,1940.0,148.78K,-0.43,1333.58,1329.95,1337.99,1328.42,0.34
2023-09-07,1942.5,1942.2,1947.9,1940.3,117.17K,-0.09,1333.45,1334.53,1339.07,1330.48,-0.01
2023-09-08,1942.7,1943.8,1954.0,1940.8,138.69K,0.01,1334.96,1334.78,1337.75,1331.49,0.11
2023-09-09,,,,,,,,,,,
2023-09-10,,,,,,,,,,,
2023-09-11,1947.2,1943.3,1954.6,1939.5,131.08K,0.23,1325.49,1336.34,1336.44,1325.18,-0.71
2023-09-12,1935.1,1945.6,1947.5,1929.9,161.99K,-0.62,1326.15,1326.05,1329.44,1323.05,0.05
2023-09-13,1932.5,1935.2,1938.4,1927.2,161.00K,-0.13,1326.59,1326.72,1332.05,1323.66,0.03
2023-09-14,1932.8,1930.7,1934.5,1921.7,201.74K,0.02,1329.52,1328.2,1331.11,1323.11,0.22
2023-09-15,1946.2,1932.5,1952.4,1931.2,199.77K,0.69,1328.46,1330.02,1330.83,1324.49,-0.08
2023-09-16,,,,,,,,,,,
2023-09-17,,,,,,,,,,,
2023-09-18,1953.4,1945.7,1955.7,1943.8,138.03K,0.37,1323.57,1329.42,1330.06,1322.69,-0.37
2023-09-19,1953.7,1955.3,1958.9,1950.9,131.10K,0.02,1328.62,1324.05,1329.47,1319.43,0.38
2023-09-20,1967.1,1953.0,1968.9,1948.6,220.98K,0.69,1332.92,1328.99,1335.94,1323.63,0.32
2023-09-21,1939.6,1952.0,1952.2,1933.1,225.91K,-1.4,1339.0,1333.44,1344.65,1331.67,0.46
2023-09-22,1945.6,1939.6,1949.1,1939.6,139.93K,0.31,1334.03,1339.57,1341.81,1330.74,-0.37
2023-09-23,,,,,,,,,,,
2023-09-24,,,,,,,,,,,
2023-09-25,1936.6,1944.7,1946.8,1933.8,164.26K,-0.46,1338.01,1335.56,1341.47,1330.14,0.3
2023-09-26,1919.8,1935.1,1935.5,1917.2,212.26K,-0.87,1352.93,1339.69,1354.97,1337.31,1.12
2023-09-27,1890.9,1918.8,1921.7,1890.3,238.53K,-1.51,1354.54,1354.1,1360.16,1347.32,0.12
2023-09-28,1878.6,1893.3,1896.8,1874.5,231.42K,-0.65,1349.56,1355.47,1357.75,1347.39,-0.37
2023-09-29,1866.1,1882.3,1896.7,1862.3,245.13K,-0.67,1352.31,1350.56,1353.68,1341.73,0.2
2023-09-30,,,,,,,,,,,
2023-10-01,,,,,,,,,,,
2023-10-02,1847.2,1864.4,1864.7,1842.7,202.15K,-1.01,1355.84,1352.65,1359.72,1349.2,0.26
2023-10-03,1841.5,1844.9,1849.3,1830.9,216.78K,-0.31,1361.08,1357.14,1363.75,1354.97,0.39
2023-10-04,1834.8,1838.7,1846.8,1831.6,195.05K,-0.36,1351.62,1362.05,1364.12,1350.01,-0.7
2023-10-05,1831.8,1837.6,1843.5,1826.2,172.46K,-0.16,1345.72,1352.55,1354.43,1344.94,-0.44
2023-10-06,1845.2,1834.3,1849.0,1823.5,231.02K,0.73,1344.61,1346.34,1357.1,1342.78,-0.08
2023-10-07,,,,,,,,,,,
2023-10-08,,,,,,,,,,,
