,Silver_Price,Silver_Open,Silver_High,Silver_Low,Silver_Volume,Silver_Change,Gold_Price,Gold_Open,Gold_High,Gold_Low,Gold_Volume,Gold_Change,USD_Price,USD_Open,USD_High,USD_Low,USD_Change
2016-01-22,14.057,14.115,14.36,14.02,45.77K,-0.26,1096.3,1101.6,1103.5,1094.4,142.74K,-0.17,1197.57,1204.2,1207.2,1195.84,-0.51
2016-01-23,,,,,,,,,,,,,,,,,
2016-01-24,,,,,,,,,,,,,,,,,
2016-01-25,14.254,14.065,14.31,14.025,37.40K,1.4,1105.3,1097.8,1109.2,1097.6,176.36K,0.82,1199.7,1197.7,1202.57,1192.07,0.18
2016-01-26,14.564,14.255,14.58,14.22,56.61K,2.17,1120.2,1108.2,1123.2,1107.2,197.69K,1.35,1198.2,1199.7,1206.62,1197.35,-0.13
2016-01-27,14.459,14.515,14.585,14.36,37.69K,-0.72,1115.8,1119.9,1128.0,1114.9,168.71K,-0.39,1208.79,1198.32,1209.57,1197.75,0.88
2016-01-28,14.232,14.51,14.54,14.07,43.77K,-1.57,1116.1,1126.2,1126.4,1110.2,151.22K,0.03,1207.74,1208.82,1212.1,1201.49,-0.09
2016-01-29,14.243,14.25,14.31,14.16,32.36K,0.08,1116.4,1114.8,1118.9,1108.5,133.25K,0.03,1208.11,1207.73,1213.6,1198.08,0.03
2016-01-30,,,,,,,,,,,,,,,,,
2016-01-31,,,,,,,,,,,,,,,,,
2016-02-01,14.343,14.255,14.42,14.2,35.15K,0.7,1128.0,1118.0,1130.2,1115.3,118.52K,1.04,1202.79,1208.11,1211.7,1199.7,-0.44
2016-02-02,14.289,14.345,14.405,14.23,34.18K,-0.38,1127.2,1128.5,1131.5,1122.6,117.73K,-0.07,1212.48,1202.79,1214.57,1197.78,0.81
2016-02-03,14.734,14.31,14.82,14.27,65.07K,3.11,1141.3,1129.4,1146.2,1124.8,189.23K,1.25,1201.14,1212.84,1222.36,1199.63,-0.94
2016-02-04,14.85,14.705,14.93,14.65,52.52K,0.79,1157.5,1142.5,1157.9,1139.7,177.21K,1.42,1191.94,1201.14,1206.95,1182.06,-0.77
